Exercise,RepCount,Weight,DateAchieved
BB Row,5,255,2026-05-20
BB Shrugs,12,225,2026-06-17
Bulgarian Split Squat,10,50,2026-06-12
Cable Curls,12,60,2026-05-20
Cable Lat Raises,15,15,2026-06-17
Cable Rows,10,150,2026-05-20
Flat Bench,5,255,2026-06-05
Front Squat,1,275,2026-06-19
Front Squat,5,225,2026-06-19
Incline Bench,8,165,2026-06-05
Lat Pull Downs,10,165,2026-04-29
Lateral Raise SuperSet,15,25,2026-06-17
Leg Extension,12,130,2026-06-12
Leg Press,10,360,2026-06-12
Peck Flys,12,70,2026-06-05
Rear Delts,15,30,2026-06-17
Shoulder Press,8,135,2026-06-17
Tricep Pushdown,12,80,2026-06-05
Weighted Pull Ups,7,45,2026-05-13
Weighted Pull Ups,8,45,2026-05-20
